Rank,Name,CP
1,Joshua Vanoverschelde,620
2,Elmar Tresp,605
3,Nicolas Darge,600
4,Kim Pobega,580
5,Julius Brunfeldt,560
6,Ted Tobyn,550
7,Ethan Wilde,505
8,Neddy Kosek,500
9,Christian Fontenot,480
10,Tord Reklev,400
11,Maciej Chojnacki,400
12,Aarni Karjala,400
13,Yoann Barszezak,380
14,Vojtěch Kotlán,380
15,Brennan Kamerman,360
16,Vincenzo Cipolla,360
17,Luke Burke,360
18,miloslav posledni,350
19,Mateusz Łaszkiewicz,350
20,Edwyn Mesman,340
21,Viktor Andersson,340
22,Daniel Veres,340
23,Caleb Barber,340
24,João Pires,340
25,Jaden Berberich,320
26,Jari Bonsee,320
27,Oscar Rivas,300
28,Fabio Battistella,280
29,Sander Wojcik,280
30,Nicklas Rosu,280
31,Hugo De Torres,260
32,Nina Eisenblätter,260
33,Dario Scarnò,260
34,Drew Stephenson,240
35,Alberto Conti,240
36,David Walerian Rzepka,240
37,Brando Longino,240
38,Aleksi Jäntti,240
39,Oscar Madsen,240
40,Matthew Rowberry,240
41,Emanuele Conti,240
42,Leonardo Lattanzi,240
43,Joseph Hollin,240
44,gonçalo ferreira,240
45,Caroline Ferino,240
46,Konsta Kallama,220
47,Krzysztof Figas,220
48,Filippo Colamorea,220
49,Hermanni Hietalahti,200
50,Christian D'Onofrio,200
51,Miłosz Dyrlica,200
52,Daniel Powell,200
53,Tomi Markkula,200
54,riccardo corino,200
55,Finn Schleusner,200
56,Rebecca van der Lee,200
57,Alessandro Frenda,200
58,Francesco Pironti,200
59,Richard Herrmann,200
60,Yasmin Kiss,200
61,Magnus Pedersen,200
62,Maxime Launay,180
63,Alessandro Cremascoli,180
64,Victor De Torres Palacios,180
65,Leon Thiemann,180
66,Nerses Fatunz,180
67,Nikolaj Busow,180
68,Ricki Madsen,180
69,Sebastian Fernandez,180
70,Francisco Ginés Cerdán Sánchez,180
71,Aleksander Rutowicz,160
72,Julio Sánchez Rodríguez,160
73,Paolo Camus,160
74,ILYA KORNILOV,160
75,Enzo DUVAL,160
76,Benjamin PHAM,160
77,Juho Kallama,160
78,Tamao Takeda,160
79,Max Roberts,160
80,Nico Alabas,160
81,Marcin Ogórek,160
82,Daniel James,160
83,Jonathan Gorgos,160
84,Nicolai Stiborg,140
85,Ilan Louboff,140
86,Mees Brenninkmeijer,140
87,Denis Provázek,140
88,Friedrich Illbruck,140
89,Nikoline Pedersen,140
90,Vincent Marcus Munk,140
91,Emma Hagen,120
92,Owyn Kamerman,120
93,Stéphane Ivanoff,120
94,Luke Parkes,120
95,Arthur Trutzschler,120
96,Kian Blount,120
97,Simone Fiorito,120
98,Jan Hausmann,120
99,Bert Wolters,120
100,Victor ZHAO,120
101,Alessio Cefola,120
102,Koen Moors,120
103,Reuben Davidson,120
104,Josh Bond,120
105,Toby Clark,120
106,Patrik Bartošovič,120
107,Jelle van Kampen,120
108,Ömer Sahin,120
109,Mehdi Hafi,120
110,Rone Nielsen,120
111,James Cox,100
112,Malthe Bogø,100
113,Eliot Duclos,100
114,Ben Cook,100
115,Julius Kerkis,100
116,Kai Wainwright,80
117,Dominik Fink,80
118,Katy Montgomerie,80
119,JOEL NGUYEN,80
120,Pedro Vicêncio,80
121,Alejandro González Sánchez,60
122,Ciro Savarese,60
123,Kyle Best,60
124,Mads Jensen,60
125,Antoine Boulay,60
126,Rune Heiremans,40
127,Daniel Magda,40
128,Öjvind Svinhufvud,40
129,Thomas Ducrot,40
130,Uffe Axelsen,40
131,Benjamin Gorgos,40
132,Oliver Friedrich,40
133,Janus Wagner,40
134,Bryan de Vries,20
135,Patrik Holler,20
136,Robin Schulz,20
137,Christian Schrader,20
